stopwords_removed,2-gram
"['keren', 'banget']",['keren_banget']
"['buruk', 'baik', 'hubung', 'ulang', 'tunggu', 'beberapa']","['baik_hubung', 'buruk_baik', 'hubung_ulang', 'tunggu_beberapa', 'ulang_tunggu']"
['layak'],[]
"['seru', 'banyak', 'jago', 'biasa', 'buruk', 'musuh', 'hebat', 'tantang']","['banyak_jago', 'biasa_buruk', 'buruk_musuh', 'hebat_tantang', 'jago_biasa', 'musuh_hebat', 'seru_banyak']"
"['terimakasih', 'bagus', 'jujur', 'ikan', 'kepada', 'bagus']","['bagus_jujur', 'ikan_kepada', 'jujur_ikan', 'kepada_bagus', 'terimakasih_bagus']"
"['mending', 'legeng']",['mending_legeng']
"['seru', 'asik', 'gabut', 'laik']","['asik_gabut', 'gabut_laik', 'seru_asik']"
"['gelap', 'very', 'crazy', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'bonus', 'bintang', 'menang']","['baik_bonus', 'banyak_lebih', 'bintang_menang', 'bonus_bintang', 'crazy_jika', 'gelap_very', 'jika_kalah', 'kalah_lebih', 'lebih_baik', 'lebih_banyak', 'very_crazy']"
['lelett'],[]
['diamond'],[]
"['animasi', 'delay', 'skill', 'gera', 'cepat', 'beberapa', 'licin', 'talu', 'banyak', 'stun', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'kelas', 'sangguan', 'ulti', 'reset', 'bila', 'kill', 'musuh', 'gantung', 'ulti', 'beberapa', 'terlalu', 'butuh', 'ulti', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'fight', 'arcana', 'tambahin', 'spellvamp', 'physical', 'masuk', 'terimakasih']","['agak_sedikit', 'animasi_delay', 'arcana_tambahin', 'balance_biar', 'banyak_stun', 'beberapa_licin', 'beberapa_terlalu', 'biar_agak', 'bila_kill', 'butuh_ulti', 'cc_selain', 'cepat_beberapa', 'delay_skill', 'fight_arcana', 'gantung_ulti', 'gera_cepat', 'item_kurang', 'kelas_sangguan', 'kill_musuh', 'kurang_cc', 'licin_talu', 'masuk_terimakasih', 'musuh_gantung', 'physical_masuk', 'reset_bila', 'sangguan_ulti', 'sedikit_sustand', 'selain_sepatu', 'sepatu_kelas', 'skill_gera', 'spellvamp_physical', 'stun_item', 'sustand_fight', 'talu_banyak', 'tambahin_spellvamp', 'terlalu_butuh', 'ulti_balance', 'ulti_beberapa', 'ulti_reset']"
"['tolong', 'baik', 'masalh', 'menggangu']","['baik_masalh', 'masalh_menggangu', 'tolong_baik']"
"['bagus', 'samsung', 'samsung', 'apakah', 'kuat']","['apakah_kuat', 'bagus_samsung', 'samsung_apakah', 'samsung_samsung']"
"['banyak', 'bug', 'rusak']","['banyak_bug', 'bug_rusak']"
"['bagus', 'banget', 'hewan', 'lucu', 'pula']","['bagus_banget', 'banget_hewan', 'hewan_lucu', 'lucu_pula']"
['seru'],[]
"['cocok', 'bagi', 'ls']","['bagi_ls', 'cocok_bagi']"
['suka'],[]
"['cheater', 'kena', 'report', 'payah']","['cheater_kena', 'kena_report', 'report_payah']"
"['bagus', 'tarik', 'banget']","['bagus_tarik', 'tarik_banget']"
"['buruk', 'bintangc']",['buruk_bintangc']
"['sekarang', 'wifi', 'lancar']","['sekarang_wifi', 'wifi_lancar']"
"['bug', 'masalah', 'hukum', 'malam', 'adil', 'auh', 'gelap']","['adil_auh', 'auh_gelap', 'bug_masalah', 'hukum_malam', 'malam_adil', 'masalah_hukum']"
['next'],[]
"['nanti', 'comeback', 'lgi']","['comeback_lgi', 'nanti_comeback']"
['bagus'],[]
"['uninstall', 'lag', 'v']",['uninstall_lag']
['tolol'],[]
"['bagus', 'grafik', 'bagus', 'tolong', 'boros', 'mana', 'mana', 'tolong', 'lam', 'tolong']","['bagus_grafik', 'bagus_tolong', 'boros_mana', 'grafik_bagus', 'lam_tolong', 'mana_mana', 'mana_tolong', 'tolong_boros', 'tolong_lam']"
"['tolong', 'ringan', 'dihp', 'kentang']","['dihp_kentang', 'ringan_dihp', 'tolong_ringan']"
"['wah', 'gratis', 'sedikit', 'banget', 'untung', 'rotasi', 'minggu', 'sempat', 'minggu']","['banget_untung', 'gratis_sedikit', 'minggu_sempat', 'rotasi_minggu', 'sedikit_banget', 'sempat_minggu', 'untung_rotasi', 'wah_gratis']"
"['lawan', 'bot', 'bosen', 'musuh', 'kabur', 'darah', 'sekarat', 'tengah', 'teman', 'banyak', 'males', 'buriq']","['banyak_males', 'bosen_musuh', 'bot_bosen', 'darah_sekarat', 'kabur_darah', 'lawan_bot', 'males_buriq', 'musuh_kabur', 'sekarat_tengah', 'teman_banyak', 'tengah_teman']"
