stopwords_removed,1-gram
"['keren', 'banget']","['banget', 'keren']"
"['buruk', 'baik', 'hubung', 'ulang', 'tunggu', 'beberapa']","['baik', 'beberapa', 'buruk', 'hubung', 'tunggu', 'ulang']"
['layak'],['layak']
"['seru', 'banyak', 'jago', 'biasa', 'buruk', 'musuh', 'hebat', 'tantang']","['banyak', 'biasa', 'buruk', 'hebat', 'jago', 'musuh', 'seru', 'tantang']"
"['terimakasih', 'bagus', 'jujur', 'ikan', 'kepada', 'bagus']","['bagus', 'ikan', 'jujur', 'kepada', 'terimakasih']"
"['mending', 'legeng']","['legeng', 'mending']"
"['seru', 'asik', 'gabut', 'laik']","['asik', 'gabut', 'laik', 'seru']"
"['gelap', 'very', 'crazy', 'jika', 'kalah', 'lebih', 'banyak', 'lebih', 'baik', 'bonus', 'bintang', 'menang']","['baik', 'banyak', 'bintang', 'bonus', 'crazy', 'gelap', 'jika', 'kalah', 'lebih', 'menang', 'very']"
['lelett'],['lelett']
['diamond'],['diamond']
"['animasi', 'delay', 'skill', 'gera', 'cepat', 'beberapa', 'licin', 'talu', 'banyak', 'stun', 'item', 'kurang', 'cc', 'selain', 'sepatu', 'kelas', 'sangguan', 'ulti', 'reset', 'bila', 'kill', 'musuh', 'gantung', 'ulti', 'beberapa', 'terlalu', 'butuh', 'ulti', 'balance', 'biar', 'agak', 'sedikit', 'sustand', 'fight', 'arcana', 'tambahin', 'spellvamp', 'physical', 'masuk', 'terimakasih']","['agak', 'animasi', 'arcana', 'balance', 'banyak', 'beberapa', 'biar', 'bila', 'butuh', 'cc', 'cepat', 'delay', 'fight', 'gantung', 'gera', 'item', 'kelas', 'kill', 'kurang', 'licin', 'masuk', 'musuh', 'physical', 'reset', 'sangguan', 'sedikit', 'selain', 'sepatu', 'skill', 'spellvamp', 'stun', 'sustand', 'talu', 'tambahin', 'terimakasih', 'terlalu', 'ulti']"
"['tolong', 'baik', 'masalh', 'menggangu']","['baik', 'masalh', 'menggangu', 'tolong']"
"['bagus', 'samsung', 'samsung', 'apakah', 'kuat']","['apakah', 'bagus', 'kuat', 'samsung']"
"['banyak', 'bug', 'rusak']","['banyak', 'bug', 'rusak']"
"['bagus', 'banget', 'hewan', 'lucu', 'pula']","['bagus', 'banget', 'hewan', 'lucu', 'pula']"
['seru'],['seru']
"['cocok', 'bagi', 'ls']","['bagi', 'cocok', 'ls']"
['suka'],['suka']
"['cheater', 'kena', 'report', 'payah']","['cheater', 'kena', 'payah', 'report']"
"['bagus', 'tarik', 'banget']","['bagus', 'banget', 'tarik']"
"['buruk', 'bintangc']","['bintangc', 'buruk']"
"['sekarang', 'wifi', 'lancar']","['lancar', 'sekarang', 'wifi']"
"['bug', 'masalah', 'hukum', 'malam', 'adil', 'auh', 'gelap']","['adil', 'auh', 'bug', 'gelap', 'hukum', 'malam', 'masalah']"
['next'],['next']
"['nanti', 'comeback', 'lgi']","['comeback', 'lgi', 'nanti']"
['bagus'],['bagus']
"['uninstall', 'lag', 'v']","['lag', 'uninstall']"
['tolol'],['tolol']
"['bagus', 'grafik', 'bagus', 'tolong', 'boros', 'mana', 'mana', 'tolong', 'lam', 'tolong']","['bagus', 'boros', 'grafik', 'lam', 'mana', 'tolong']"
"['tolong', 'ringan', 'dihp', 'kentang']","['dihp', 'kentang', 'ringan', 'tolong']"
"['wah', 'gratis', 'sedikit', 'banget', 'untung', 'rotasi', 'minggu', 'sempat', 'minggu']","['banget', 'gratis', 'minggu', 'rotasi', 'sedikit', 'sempat', 'untung', 'wah']"
"['lawan', 'bot', 'bosen', 'musuh', 'kabur', 'darah', 'sekarat', 'tengah', 'teman', 'banyak', 'males', 'buriq']","['banyak', 'bosen', 'bot', 'buriq', 'darah', 'kabur', 'lawan', 'males', 'musuh', 'sekarat', 'teman', 'tengah']"
"['ta', 'event', 'epik', 'drbian', 'sudah', 'gaca', 'kga', 'event', 'jgn', 'sosial', 'mending', 'sudah']","['drbian', 'epik', 'event', 'gaca', 'jgn', 'kga', 'mending', 'sosial', 'sudah', 'ta']"
"['butuh', 'gambar', 'lore', 'lebih', 'jelas', 'susah', 'paham', 'lore', 'lebih', 'fokus', 'bahkan', 'gambar', 'primeara', 'tak', 'tulis', 'jelas', 'banyak', 'mi', 'cukup', 'susah', 'paham', 'lore', 'harap', 'gambar', 'lore', 'lebih', 'jelas', 'lain']","['bahkan', 'banyak', 'butuh', 'cukup', 'fokus', 'gambar', 'harap', 'jelas', 'lain', 'lebih', 'lore', 'mi', 'paham', 'primeara', 'susah', 'tak', 'tulis']"
"['force', 'close', 'update', 'begini']","['begini', 'close', 'force', 'update']"
